Frame,True_X,True_Y,True_V,True_Theta,Est_X,Est_Y,Est_V,Est_Theta,IMU_Accel_X,IMU_Accel_Y,IMU_Gyro_Z,IMU_Spike_Gen,IMU_Spike_Det,Cam_Outlier_Gen,Cam_Outlier_Det
0,0.0,0.0,0.0,0.0,0.000929008086297247,0.00021168460016719065,5.395272080148854e-05,-2.296130908060324e-05,0.003928367687314908,-0.0022753867287356013,0.001210498735534376,False,False,True,True
1,0.0,0.0,0.0,0.0,0.0007111359547884314,-0.0007593674888427926,8.75709510763002e-05,-3.3837863733273714e-05,0.0037552621329249355,-0.0029174887359396545,-0.001522899996168641,False,False,False,False
2,0.0,0.0,3.08641975308642e-05,0.0003703703703705763,0.001769182743997223,-0.0016139737770892787,0.00026072438599556493,-0.18675933657013155,0.006690584666365169,-16.799140588123713,0.032863824732212894,True,False,True,True
3,3.429355045997583e-07,1.2701315565947616e-10,9.242112482853225e-05,0.0011028806584363338,0.0009593492168304957,-0.003881434452813197,0.00033130001109712856,-0.18677034060055664,0.009213375660495448,-0.0022940819297968813,0.06965616581162443,False,False,False,False
4,1.369836267049946e-06,1.2595626038899179e-09,0.00018450026672763302,0.0021894833104711964,0.002308035538071773,-0.0053936031278425875,0.0005498303152331233,-0.18671736081343743,0.012375521586480186,-0.0025464139287049155,0.09695312015399686,False,False,False,False
5,3.4198343170020766e-06,5.74800629305029e-09,0.0003069320553692696,0.003622309607275387,0.002085476156679569,-0.007268027460051838,0.0007036189493861541,-0.18670210303400656,0.016451564855044946,-0.0022548754252181224,0.13103278111524116,False,False,True,True
6,6.830168113938173e-06,1.8101345199664233e-08,0.00045954786493820573,0.005393665690076599,0.001473620921172849,-0.008807027947025233,0.0007850340156134428,-0.1865576229585932,0.016220389398983886,9.765070659822775e-05,0.16340200059487245,False,False,True,True
7,1.1936181230119076e-05,4.5641740022996424e-08,0.0006421800064292897,0.007496028674741417,0.0018037978128883424,-0.010126213304203593,0.29132160328645046,-0.1842599511939113,26.150450192474878,0.0010391540004186408,0.18958539092877655,True,False,True,True
8,1.9071314167044858e-05,9.912790292381768e-08,0.0008546617224429543,0.009922042852339885,0.004983480861775259,-0.010901479112952573,0.2915162814861092,-0.18412357933205376,0.02412220247734514,-0.0015025192453763103,0.21693521573989902,False,False,False,False
9,2.8567088093431976e-05,1.9334847066653798e-07,0.0010968271820096292,0.012664515974139867,0.008283074042116981,-0.012899222819403871,0.2917949600547542,-0.18415229689240215,0.02443528977886451,-0.004053805222031762,0.24921808586683786,False,False,True,True
10,4.075307946175078e-05,3.4768640451816864e-07,0.0013685114754429092,0.01571641561915893,0.01155613815466725,-0.014994297158253966,0.4751219891549721,-0.18148225237910878,16.50049863169925,-0.0031385112511354498,0.27468014141149916,True,False,True,True
11,5.595688461553693e-05,5.866554012014762e-07,0.0016695506092213128,0.019070865642436985,0.01623398838781773,-0.015915971007199766,0.4752783782050846,-0.18125350851455704,0.032206548915686035,-0.0011244385329144272,0.2985032742219341,False,False,False,False
12,7.450407364202618e-05,9.404092387216219e-07,0.0019997815008984785,0.022721142702234687,0.020414681231471388,-0.016139153022554413,0.47525700980698465,-0.1807947101811959,0.03340532000765838,-0.00046472210293529905,0.3268994428942882,False,False,True,True
13,9.671813285513312e-05,1.4452249215086732e-06,0.002359041974041635,0.02666067286440743,0.024602994408620377,-0.01657193046410217,0.47525161282693684,-0.18041455677917256,0.03659036113405938,-0.004337256940272062,0.35430696839330145,False,False,True,True
14,0.00012292039541330534,2.1439604314733185e-06,0.002747170753198194,0.030883028282235436,-0.02715442188190513,-0.058588932771500096,0.4657622363002566,-0.21153360571181812,0.03843582501763526,0.0014320829666975318,26.70960487597585,True,False,False,False
15,0.00015342995968617792,3.086487835609191e-06,0.003164007458890303,0.035381923950037475,-0.022451288943779058,-0.11245652942521171,0.5042309473823167,-0.23886080276648622,0.04303181941653607,0.0003529632174827913,37.00784155122873,True,True,True,True
16,0.00018856359508401244,4.330102446971373e-06,0.0036093926026372087,0.04015121452892556,-0.011121596827633626,-0.09605876020968432,0.5057502757440052,-0.24295410562724096,0.04610567262293546,0.0005346758677632999,0.42744095332437015,False,False,False,False
17,0.00022863563515535562,5.939908684433587e-06,0.004083167582005273,0.045184891243097436,-0.016844997445507055,-0.09955116042502767,0.502272618787273,-0.24481765195726005,0.04622686846150878,9.974491175463352e-05,0.45147704529259614,False,False,True,True
18,0.0002739578578418701,7.98918322773984e-06,0.004585174675685491,0.050477078845102774,-0.01126419057009291,-0.1022713565578861,0.7692816583607927,-0.22170145939867375,24.12130053856764,-0.0004052512309616447,0.4775098716976727,True,False,True,True
19,0.00032483935285549303,1.0559716018137186e-05,0.00511525703859835,0.05602203264854477,-0.0054399640230574555,-0.10442684468656813,0.7687759071811863,-0.2238758071989831,0.054407307828257874,0.0018922490250060644,0.5014963145206947,False,False,True,True
